Date,Evap,Inflow,Outflow,Prec,Vol_obs,Vol_sim
2006-01,-0.00634858088162,1.20761884558,0.0,0.0205577117642,24.106763561,24.3988279765
2006-02,-0.0223288332466,1.19916161169,0.0,0.112761822271,25.0364968113,25.6884225772
2006-03,-0.110840828188,1.05977692545,0.0,0.0310000802954,25.944377357,26.6683587547
2006-04,-0.263579642467,0.841866482965,0.0,0.025749946232,26.8522579027,27.2723955415
2006-05,-0.479629260891,0.333688717321,0.0,0.0164409840569,27.0548920726,27.1428959819
2006-06,-0.431941980038,0.0771706332609,0.0,0.0134811535586,26.6760456392,26.8016057887
2006-07,-0.586346368738,0.048802893578,0.0,0.0166800878579,26.004968947,26.2807424014
2006-08,-0.41400185402,0.159665470545,0.0,6.80292344854e-16,25.4983835222,26.0264060179
2006-09,-0.377885010235,0.249453072267,0.0,0.00757896842409,25.0698718511,25.9055530484
2006-10,-0.230381353095,0.391473799466,0.0,0.0698881396459,24.7856873608,26.1365336344
2006-11,-0.126503629392,0.618780976561,0.0,0.0556895856185,24.7876739703,26.6845005672
2006-12,-0.0260505309107,0.992555093052,0.0,0.0641480186501,25.0980817061,27.715153148
2007-01,-0.0106242541372,0.879896484941,0.730720783166,0.0356711502252,25.4084894419,27.8893757459
2007-02,-0.0366167499083,1.03919128783,1.08167452124,0.0531074875456,25.7188971777,27.8633832501
2007-03,-0.0741490254638,0.915977485119,0.947990452436,0.0686297172254,25.5877809501,27.8258509745
2007-04,-0.325825277826,0.665038785328,0.659157199277,0.0682674394132,26.4318416653,27.5741747222
2007-05,-0.355964879282,0.510315590534,0.209576662796,0.0250863500882,26.784003676,27.5440351207
2007-06,-0.45923852574,0.0708926276826,0.0,0.0156105555114,26.7237242675,27.1712997782
2007-07,-0.525613667097,0.0975212552063,0.0,0.022662890554,26.3917618185,26.7658702568
2007-08,-0.595657602791,0.32070416918,0.0,0.0275814300843,25.9846061996,26.5184982533
2007-09,-0.477924937339,0.305873833893,0.0,0.0252865977784,25.8897455955,26.3717337476
2007-10,-0.170346483973,0.509109936524,0.0,0.00679419853595,25.8112745199,26.7172913987
2007-11,-0.110461140146,0.637452128307,0.0,0.0666662709634,26.1231722128,27.3109486579
2007-12,-0.009080272961,0.703403590274,0.142831919461,0.0284796713347,26.140555046,27.890919727
2008-01,-0.00819015366293,0.868608737774,0.895649747208,0.0361212823951,26.1606694673,27.8918098463
2008-02,-0.0208360680792,1.01608668834,1.04540537442,0.0375088397422,26.1807838886,27.8791639319
2008-03,-0.127357041526,0.860999165461,0.891005835193,0.0508427378108,26.4042774584,27.7726429585
2008-04,-0.311776290121,0.480566324109,0.39505591739,0.0418466348081,26.3126450948,27.5882237099
2008-05,-0.359905185059,0.170836069727,0.0,0.0482562683395,26.7638537795,27.4474108629
2008-06,-0.594166709269,0.0365886961314,0.0,0.0360128843952,26.4916882768,26.9258457341
2008-07,-0.653650488374,0.0373892758596,0.0,0.0679952110374,26.2304491263,26.3775797327
2008-08,-0.572646172399,0.0554310193953,0.0,0.00258733225276,25.6026805214,25.8629519119
2008-09,-0.535993723757,0.0836532018167,0.0,0.00655447496104,24.9590190405,25.4171658649
2008-10,-0.275610435125,0.148219051149,0.0,0.0678184365938,24.5751067528,25.3575929176
2008-11,-0.0800836835909,0.384744072549,0.0,0.00676539926868,24.408231554,25.6690187058
2008-12,-0.0206174977683,0.411703605818,0.0,0.0309056841041,24.3968085494,26.0910104979
2009-01,-0.00789865239529,0.579722418078,0.0,0.0712687887967,25.1330460335,26.7341030524
2009-02,-0.0321006250681,0.629381779866,0.0,0.0133011129762,25.5019594193,27.3446853202
2009-03,-0.0996988967131,0.374079351324,0.0,0.125785376716,25.9553037093,27.7448511515
2009-04,-0.357252520152,0.240423437354,0.123267632491,0.0379930436208,26.1033061177,27.5427474798
2009-05,-0.577028806498,0.256264942187,0.0,0.0380639645113,26.4256335106,27.26004758
2009-06,-0.66814820596,0.154616006638,0.0,0.019423194782,26.268194707,26.7659385755
2009-07,-0.716996595555,0.0848329473633,0.0,0.00334523713044,25.8986853383,26.1371201644
2009-08,-0.680537125363,0.223675958984,0.0,0.100356654286,25.4111146045,25.7806156524
2009-09,-0.35298658274,0.559210229268,0.0,0.000583124181366,25.3821668659,25.9874224231
2009-10,-0.198862256176,0.528009275472,0.0,0.0187898120324,25.8698795004,26.3353592544
2009-11,-0.122345643878,0.336206817931,0.0,0.0281158925518,25.9736798473,26.577336321
2009-12,-0.0157597569936,0.33705709559,0.0,0.0271637016335,26.2016432884,26.9257973612
2010-01,-0.0192408930807,0.720917347446,0.0,0.0932346184432,26.7249162332,27.720708434
2010-02,-0.0305928917854,0.684182824591,0.526022279956,0.0211310213313,27.077738082,27.8694071082
2010-03,-0.12853990388,0.72932900443,0.805972408156,0.107236295511,27.5694239355,27.7714600961
2010-04,-0.462346134527,0.775417823863,0.752355963939,0.105478043956,27.3131513088,27.4376538655
2010-05,-0.55866291617,0.63327360553,0.182916225001,0.0119887539982,27.0372963884,27.3413370838
2010-06,-0.607291250017,0.745267871838,0.1877512304,0.00114627473292,27.2630887492,27.29270875
2010-07,-0.686876818582,0.66435845409,0.067514712686,0.0104475086126,27.4335398451,27.2131231814
2010-08,-0.595039427721,0.53542333148,0.0,0.00268428590956,27.1626656385,27.1561913711
2010-09,-0.480346080405,0.691134515787,0.0,0.000868638595656,26.9919165512,27.3678484451
2010-10,-0.326406107669,0.867888399537,0.399779029113,0.0640421845112,27.1388263244,27.5735938923
